order_id,client_id,product_id,quantity,purchase_date
1,9841,193,3,2024-05-21
2,3378,115,3,2024-03-03
3,5301,57,1,2024-04-17
4,4890,206,3,2024-01-26
5,9337,328,3,2024-03-24
6,2249,201,4,2024-03-31
7,7581,59,4,2024-02-22
8,1151,381,3,2024-06-02
9,1751,240,4,2024-01-18
10,7474,263,4,2024-06-24
11,6365,199,1,2024-03-11
12,6147,348,2,2024-03-21
13,5379,337,2,2024-06-08
14,4376,466,4,2024-06-14
15,1306,208,3,2024-01-27
16,2093,355,3,2024-01-27
17,1370,410,3,2024-05-26
18,6155,487,3,2024-01-20
19,1646,103,5,2024-05-29
20,2313,485,5,2024-01-08
21,5132,472,4,2024-01-06
22,9536,238,1,2024-03-09
23,8361,2,4,2024-02-06
24,7743,5,2,2024-03-17
25,4443,439,1,2024-04-17
26,8107,192,4,2024-02-18
27,8344,285,4,2024-05-27
28,5274,483,5,2024-01-16
29,2611,49,4,2024-03-28
30,2323,258,5,2024-01-16
31,7520,317,4,2024-04-04
32,5910,327,4,2024-06-13
33,7985,96,1,2024-06-12
34,310,332,1,2024-06-28
35,1002,381,2,2024-01-11
36,1837,167,4,2024-01-17
37,3498,4,2,2024-01-14
38,5237,208,3,2024-06-13
39,1883,374,5,2024-01-06
40,6835,206,5,2024-02-07
41,6973,316,3,2024-02-22
42,928,228,3,2024-05-25
43,752,467,2,2024-02-26
44,2455,235,1,2024-06-09
45,6394,260,4,2024-05-05
46,2018,287,4,2024-06-18
47,9477,443,2,2024-04-30
48,2337,2,3,2024-05-09
49,3070,137,3,2024-05-13
50,677,82,5,2024-03-05
51,3219,138,3,2024-01-29
52,9789,57,5,2024-06-05
53,3817,31,1,2024-06-14
54,1599,176,5,2024-04-09
55,3878,439,4,2024-05-27
56,9655,497,4,2024-02-05
57,4586,236,1,2024-04-19
58,1584,294,3,2024-02-27
59,6944,169,3,2024-01-08
60,7805,458,2,2024-04-07
61,2941,14,4,2024-03-24
62,4704,430,3,2024-03-02
63,1499,202,1,2024-01-24
64,7486,284,1,2024-05-28
65,4158,85,2,2024-02-05
66,7113,70,5,2024-06-27
67,8424,464,2,2024-06-13
68,9769,12,5,2024-03-31
69,1460,3,4,2024-01-12
70,8330,249,3,2024-06-23
71,5423,367,5,2024-01-09
72,6394,245,1,2024-04-15
